Area,Label,2011-12,2012-13,2013-14,2014-15,2015-16
E92000001,England,,,,,
E12000009,South West,,,,,
E01015023,Plymouth 003A,,,,,
E01015024,Plymouth 004A,,,,,
E01015025,Plymouth 001A,,,,,
E01015026,Plymouth 003B,,,,,
E01015027,Plymouth 002A,,,,,
E01015028,Plymouth 003C,,,,,
E01015029,Plymouth 008A,,,,,
E01015030,Plymouth 007A,,,,,
E01015031,Plymouth 023A,,,,,
E01015032,Plymouth 023B,,,,,
E01015033,Plymouth 016A,,,,,
E01015034,Plymouth 016B,,,,,
E01015035,Plymouth 012A,,,,,
E01015036,Plymouth 016C,,,,,
E01015037,Plymouth 012B,,,,,
E01015038,Plymouth 016D,,,,,
E01015039,Plymouth 014A,,,,,
E01015040,Plymouth 014B,,,,,
E01015041,Plymouth 014C,,,,,
E01015042,Plymouth 020A,,,,,
E01015043,Plymouth 026A,,,,,
E01015044,Plymouth 020B,,,,,
E01015045,Plymouth 026B,,,,,
E01015046,Plymouth 026C,,,,,
E01015047,Plymouth 026D,,,,,
E01015048,Plymouth 026E,,,,,
E01015049,Plymouth 023C,,,,,
E01015050,Plymouth 023D,,,,,
E01015051,Plymouth 023E,,,,,
E01015052,Plymouth 028A,,,,,
E01015053,Plymouth 027A,,,,,
E01015054,Plymouth 027B,,,,,
E01015055,Plymouth 021A,,,,,
E01015056,Plymouth 021B,,,,,
E01015057,Plymouth 021C,,,,,
E01015058,Plymouth 012C,,,,,
E01015059,Plymouth 021D,,,,,
E01015060,Plymouth 021E,,,,,
E01015061,Plymouth 025A,,,,,
E01015062,Plymouth 025B,,,,,
E01015063,Plymouth 010A,,,,,
E01015064,Plymouth 008B,,,,,
E01015065,Plymouth 008C,,,,,
E01015066,Plymouth 012D,,,,,
E01015067,Plymouth 012E,,,,,
E01015068,Plymouth 010B,,,,,
E01015069,Plymouth 010C,,,,,
E01015070,Plymouth 007B,,,,,
E01015071,Plymouth 008D,,,,,
E01015072,Plymouth 013A,,,,,
E01015073,Plymouth 013B,,,,,
E01015074,Plymouth 011A,,,,,
E01015075,Plymouth 014D,,,,,
