,,4,5,6,7,8,9
Area,Label,2007-2011,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016
E92000001,England,,,,,,
E12000009,South West,,,,,,
E01015023,Plymouth 003A,1.072779909,1.135301263,1.043812069,2.362377462,2.532025832,1.354835913
E01015024,Plymouth 004A,0.107221538,0.079734534,0.082888319,0.084396203,0.089245912,0.0715761
E01015025,Plymouth 001A,0.097700305,0.095138152,0.094991323,0.103372679,0.098077562,0.087866582
E01015026,Plymouth 003B,1.183652139,0.837606327,1.021127391,1.015095769,1.137990554,1.361938826
E01015027,Plymouth 002A,3.087414559,1.876245323,2.204428459,1.834589853,0.967354649,0.814304225
E01015028,Plymouth 003C,0.941730104,1.27398969,1.098480934,1.043719165,0.758087248,0.51548651
E01015029,Plymouth 008A,0.428231449,0.538910014,0.935542512,1.333310541,1.230481254,1.641936162
E01015030,Plymouth 007A,0.942022933,1.242206335,0.8376569,0.980183271,1.198233129,2.11083918
E01015031,Plymouth 023A,0.087443335,0.078467657,0.08558298,0.076446989,0.083838198,0.081074155
E01015032,Plymouth 023B,0.612844422,0.444865001,0.746996333,1.293966428,1.390169677,1.030912467
E01015033,Plymouth 016A,1.25055259,1.383096812,1.780685296,2.045083936,4.829605702,45.9106487
E01015034,Plymouth 016B,0.16388982,0.121527046,0.113886668,0.077413891,0.085069239,0.076574489
E01015035,Plymouth 012A,3.875463809,8.613107146,8.233456865,3.843911508,6.683428186,6.21139161
E01015036,Plymouth 016C,0.161233383,0.259118342,0.505535304,1.50537411,1.579144119,1.093939182
E01015037,Plymouth 012B,2.254923686,1.187141251,1.043435038,1.139440274,0.655082439,0.711335744
E01015038,Plymouth 016D,1.928869567,1.025746643,0.352368712,0.335632169,0.391639532,0.333001316
E01015039,Plymouth 014A,0.276713864,0.237736556,0.534220018,1.418725307,5.607272263,2.774437434
E01015040,Plymouth 014B,1.467174646,1.658231176,1.353126015,1.279033873,3.774456001,3.938215755
E01015041,Plymouth 014C,3.388150044,3.195712092,4.891422934,2.040613096,1.436338796,1.19507263
E01015042,Plymouth 020A,0.711780057,0.381357838,0.356925194,0.547855342,0.601817763,0.491861492
E01015043,Plymouth 026A,1.383068072,1.37293448,3.012349653,0.480033836,0.996687952,1.933114791
E01015044,Plymouth 020B,1.065406079,0.64411529,1.154343259,1.325551413,2.643881462,1.416719653
E01015045,Plymouth 026B,0.082563606,0.097402149,0.096387478,0.089200147,0.086750249,0.090696103
E01015046,Plymouth 026C,0.167809359,0.130871183,0.135123502,0.140797807,0.135164328,0.143213321
E01015047,Plymouth 026D,0.084729437,3.787262782,4.119472306,4.804053121,0.858956066,0.465563098
E01015048,Plymouth 026E,1.452108439,1.02775551,0.646185165,1.948001643,3.117275884,1.603820599
E01015049,Plymouth 023C,0.790070046,0.860655296,1.192448679,1.726518806,1.168680613,1.887985363
E01015050,Plymouth 023D,0.132249869,0.143276387,0.125438837,0.098691973,0.099614339,0.094084127
E01015051,Plymouth 023E,2.626312898,3.067838714,4.96454716,3.012822207,5.09990905,3.602792106
E01015052,Plymouth 028A,0.238298602,0.192904378,0.191327965,0.146613458,0.132867083,0.138568743
E01015053,Plymouth 027A,15.27052349,6.810160441,3.576789551,2.826459858,1.699573968,2.310311925
E01015054,Plymouth 027B,1.236663912,3.201513281,1.743785139,1.171292112,0.6912888,0.364383031
E01015055,Plymouth 021A,1.845200408,1.065200116,0.825546125,1.185063561,1.161741594,1.416746579
E01015056,Plymouth 021B,0.22520471,0.215892566,0.186631001,0.196605228,0.26237964,0.236921792
E01015057,Plymouth 021C,0.413280763,0.65237931,0.68152477,0.437161913,1.425801731,0.995337729
E01015058,Plymouth 012C,0.630709237,0.688202652,0.482440255,1.33648171,0.907181873,0.858257665
E01015059,Plymouth 021D,1.515185768,2.507132408,0.080570221,2.195694521,1.215376254,1.562258123
E01015060,Plymouth 021E,2.258979956,1.006146026,0.596752025,0.407529396,0.205543546,0.32439464
E01015061,Plymouth 025A,2.424042316,1.907954181,1.808685428,2.063628237,2.374967843,2.49548682
E01015062,Plymouth 025B,0.37343312,0.430772307,0.417393578,0.576822778,0.441819524,0.243179721
E01015063,Plymouth 010A,2.288164571,1.896192915,2.130806487,1.435733904,0.904950817,0.583473077
E01015064,Plymouth 008B,1.44763788,1.152486143,0.918631459,0.66493329,0.850272121,0.956794104
E01015065,Plymouth 008C,1.153370768,1.36599637,1.530456887,1.189478656,1.216909167,1.242059273
E01015066,Plymouth 012D,2.797378316,4.568743327,2.768405554,1.403693489,1.064469744,1.137249845
E01015067,Plymouth 012E,0.933572116,0.791205154,0.625537481,0.733428967,0.809471409,0.716155254
E01015068,Plymouth 010B,0.699188006,1.054575046,1.162258238,2.918362002,1.945526093,1.982108656
E01015069,Plymouth 010C,2.243291469,1.175992426,0.518891328,0.841918034,1.149607879,0.695121891
E01015070,Plymouth 007B,0.356799,0.479860075,1.210862507,1.858323077,2.555788184,3.41926342
E01015071,Plymouth 008D,0.939005546,0.630728265,0.619293758,0.846432873,0.723753089,0.624124113
E01015072,Plymouth 013A,1.285504234,1.051476758,0.952979656,0.911651755,0.661865928,0.583598712
E01015073,Plymouth 013B,0.345038689,0.464943507,0.387312801,0.690749,1.292203632,1.331230807
E01015074,Plymouth 011A,1.201820686,2.233023149,1.041074131,0.546782409,1.213824754,1.13951947
E01015075,Plymouth 014D,0.677704434,3.012215876,1.483735288,1.697138057,3.558083534,3.913960066
E01015076,Plymouth 009A,3.044124409,2.25851562,1.315036497,2.294211285,1.644037824,1.525928639
E01015077,Plymouth 011B,0.579491412,0.614726667,0.628654295,0.419031081,0.387984651,0.240746256
E01015078,Plymouth 013C,0.610000918,1.133089889,2.762867646,1.049967262,1.304054586,0.94430689
E01015079,Plymouth 011C,0.979273891,0.954074173,1.252486663,1.52949786,2.048490448,1.306359432
E01015080,Plymouth 013D,0.737535106,0.635767785,3.708575349,1.138586446,2.107456073,3.006723304
E01015081,Plymouth 007C,1.694990483,1.23818329,0.801872482,0.605516445,0.760138705,1.217772751
E01015082,Plymouth 004B,2.443988719,1.096364104,1.306435739,1.525353777,1.087705965,0.597734904
E01015083,Plymouth 004C,0.663858778,0.433263179,0.3479481,0.31354657,0.249481222,0.210409907
E01015084,Plymouth 004D,0.872741689,0.590874416,0.681718352,1.039354865,1.080666236,1.593326315
E01015085,Plymouth 006A,2.038993107,0.831019747,0.782209431,0.821246833,0.737859304,0.702788865
E01015086,Plymouth 007D,2.467475851,1.769461504,1.140551007,1.049762252,1.876519541,1.174372276
E01015087,Plymouth 006B,0.59896913,0.38029985,0.463253762,1.021710775,0.930508059,0.543944182
E01015088,Plymouth 006C,1.781327634,1.231748299,1.383549719,1.139701761,0.601631326,0.474019085
E01015089,Plymouth 007E,0.109918426,0.093324757,0.088340098,0.092352329,0.092509297,0.115963363
E01015090,Plymouth 005A,0.092917867,0.097745018,0.083750586,2.796314571,3.402421625,2.689171312
E01015091,Plymouth 005B,1.855322037,1.742741514,2.587542722,3.960007074,3.709600297,1.885630832
E01015092,Plymouth 005C,0.271704674,0.267464801,0.194452455,0.226732713,0.205947927,0.172361857
E01015093,Plymouth 005D,1.934582906,2.570981755,2.766439709,6.014058996,6.492834349,6.778022046
E01015094,Plymouth 005E,0.471183016,0.46535832,0.373033115,0.357035855,0.244150839,0.325435385
E01015095,Plymouth 010D,1.118281904,2.063360556,1.043131876,0.748665244,0.665243284,0.603022907
E01015096,Plymouth 010E,8.890723384,3.086262446,1.275398747,1.245029759,1.052155647,0.540305346
E01015097,Plymouth 001B,1.23601065,0.921063556,0.94967827,0.903906357,0.949065803,1.222222342
E01015098,Plymouth 017A,0.237636058,0.422780413,0.525250918,0.623779246,0.787324138,1.933761183
E01015099,Plymouth 017B,2.430143133,2.362883126,4.662524074,9.258640886,3.911108935,3.886156479
E01015100,Plymouth 017C,0.694507195,0.601683669,1.015378413,1.266232794,1.296416896,0.716947686
E01015101,Plymouth 016E,0.175559961,0.142787216,0.136378544,0.135211702,0.125963715,0.117197054
E01015102,Plymouth 011D,0.269259206,0.334807719,0.466826399,0.475623274,1.02316333,1.370055877
E01015103,Plymouth 017D,4.188422198,1.523672642,0.835863113,0.421012704,0.403203842,0.238517287
E01015104,Plymouth 011E,1.076153589,1.130035198,0.677310761,0.880633124,0.930873606,0.918794252
E01015105,Plymouth 017E,0.803298928,1.131305469,0.778640161,0.822154972,0.659343772,0.564571303
E01015106,Plymouth 013E,1.677902532,1.543850868,2.173276481,1.617380892,1.216634834,0.943033586
E01015107,Plymouth 018A,2.490171772,4.331257896,1.588523652,0.884693541,0.616398079,1.099084454
E01015108,Plymouth 022A,1.925761937,1.21569806,0.912952182,0.746173826,1.060065719,1.009098234
E01015109,Plymouth 022B,5.324300915,4.682028535,5.737842791,3.280880873,1.724759622,1.932709116
E01015110,Plymouth 018B,9.907543054,4.288865502,5.663526828,18.45867773,22.8651049,28.60787879
E01015111,Plymouth 018C,0.787009217,1.424578804,2.385285073,3.569264035,0.078120216,2.026853603
E01015112,Plymouth 019A,0.071356067,0.078488237,0.089914615,0.097204624,0.099866827,0.102530752
E01015113,Plymouth 019B,1.051740026,0.973919268,0.889831002,0.864997292,0.778122954,1.2525642
E01015114,Plymouth 019C,0.165803015,0.232664103,0.263527329,0.307465237,0.575818356,0.520999908
E01015115,Plymouth 022C,0.274805073,0.352088724,0.381174507,0.399796211,0.44684965,0.735620426
E01015116,Plymouth 022D,5.407707972,4.590341394,3.247119091,2.776935697,1.342039618,1.113923408
E01015117,Plymouth 022E,1.557170116,2.032526632,1.704140233,1.790681404,0.966726404,1.257524613
E01015118,Plymouth 019D,2.668772496,2.962619209,3.811641034,6.045859933,1.55756357,1.95945416
E01015119,Plymouth 018D,3.164064246,3.89148491,5.346624937,0.114506719,0.104670273,0.106295556
E01015120,Plymouth 015A,0.099591738,0.079513541,0.065680433,0.06868651,0.069095872,0.066929804
E01015121,Plymouth 015B,1.321934593,0.861458349,0.630670534,0.83793612,1.185301969,0.624347474
E01015122,Plymouth 019E,0.86411024,0.916057064,0.993443675,1.122104288,0.849249539,0.883455484
E01015123,Plymouth 015C,0.133568185,0.148042206,0.120631501,0.118716974,0.10609136,0.126816042
E01015124,Plymouth 015D,0.423059736,0.439294218,0.471446923,0.754404651,0.772631512,0.547171501
E01015125,Plymouth 015E,1.016300921,1.453075865,1.696527584,2.864482657,1.466887509,2.716862439
E01015126,Plymouth 030A,0.15378451,0.173405984,0.221455281,0.269772527,0.256117969,0.227084281
E01015127,Plymouth 030B,0.111396093,0.098488758,0.0919182,0.107024532,0.129542328,0.157155671
