Area,2013,2014,2015
E92000001,,,
E12000009,,,
E01015023,,,
E01015024,,,
E01015025,,,
E01015026,,,
E01015027,,,
E01015028,,,
E01015029,,,
E01015030,,,
E01015031,,,
E01015032,,,
E01015033,,,
E01015034,,,
E01015035,,,
E01015036,,,
E01015037,,,
E01015038,,,
E01015039,,,
E01015040,,,
E01015041,,,
E01015042,,,
E01015043,,,
E01015044,,,
E01015045,,,
E01015046,,,
E01015047,,,
E01015048,,,
E01015049,,,
E01015050,,,
E01015051,,,
E01015052,,,
E01015053,,,
E01015054,,,
E01015055,,,
E01015056,,,
E01015057,,,
E01015058,,,
E01015059,,,
E01015060,,,
E01015061,,,
E01015062,,,
E01015063,,,
E01015064,,,
E01015065,,,
E01015066,,,
E01015067,,,
E01015068,,,
E01015069,,,
E01015070,,,
E01015071,,,
E01015072,,,
E01015073,,,
E01015074,,,
E01015075,,,
E01015076,,,
E01015077,,,
E01015078,,,
E01015079,,,
E01015080,,,
E01015081,,,
E01015082,,,
E01015083,,,
E01015084,,,
E01015085,,,
E01015086,,,
E01015087,,,
E01015088,,,
E01015089,,,
E01015090,,,
E01015091,,,
E01015092,,,
E01015093,,,
E01015094,,,
E01015095,,,
E01015096,,,
E01015097,,,
E01015098,,,
E01015099,,,
E01015100,,,
E01015101,,,
E01015102,,,
E01015103,,,
E01015104,,,
E01015105,,,
E01015106,,,
E01015107,,,
E01015108,,,
E01015109,,,
E01015110,,,
E01015111,,,
E01015112,,,
E01015113,,,
E01015114,,,
E01015115,,,
E01015116,,,
E01015117,,,
E01015118,,,
E01015119,,,
E01015120,,,
E01015121,,,
E01015122,,,
E01015123,,,
E01015124,,,
E01015125,,,
E01015126,,,
E01015127,,,
E01015128,,,
E01015129,,,
E01015130,,,
E01015131,,,
E01015132,,,
E01015133,,,
E01015134,,,
E01015135,,,
E01015136,,,
E01015137,,,
E01015138,,,
E01015139,,,
E01015140,,,
E01015141,,,
E01015142,,,
E01015143,,,
E01015144,,,
E01015145,,,
E01015146,,,
E01015147,,,
E01015148,,,
E01015149,,,
E01015150,,,
E01015151,,,
E01015152,,,
E01015153,,,
E01015155,,,
E01015156,,,
E01015157,,,
E01015158,,,
E01015159,,,
E01015160,,,
E01015161,,,
E01015162,,,
E01015163,,,
E01015164,,,
E01015165,,,
E01015166,,,
E01015167,,,
E01015168,,,
E01015169,,,
E01015170,,,
E01015171,,,
E01015172,,,
E01015173,,,
E01015174,,,
E01015175,,,
E01015176,,,
E01015177,,,
E01015178,,,
E01015179,,,
E01015180,,,
E01015181,,,
E01015182,,,
E01015183,,,
E01015184,,,
E01015185,,,
E01015186,,,
E01015187,,,
E01015188,,,
E01015189,,,
E01015190,,,
E01015191,,,
E01015192,,,
E01015193,,,
E01015194,,,
E01015195,,,
E01015196,,,
E01015197,,,
E01015198,,,
E01015199,,,
E01015200,,,
E01015201,,,
E01015202,,,
E01015203,,,
E01015204,,,
E01015205,,,
E01015206,,,
E01015207,,,
E01015208,,,
E01015209,,,
E01015210,,,
E01015211,,,
E01015212,,,
E01015213,,,
E01015214,,,
E01015215,,,
E01015216,,,
E01015217,,,
E01015218,,,
E01015219,,,
E01015220,,,
E01015221,,,
E01015222,,,
E01015223,,,
E01015224,,,
E01015225,,,
E01015226,,,
E01015227,,,
E01015228,,,
E01015229,,,
E01015230,,,
E01015231,,,
E01015232,,,
E01015233,,,
E01015234,,,
E01015235,,,
E01015236,,,
E01015237,,,
E01015238,,,
E01015239,,,
E01015240,,,
E01015241,,,
E01015242,,,
E01015243,,,
E01015244,,,
E01015245,,,
E01015246,,,
E01015247,,,
E01015248,,,
E01015249,,,
E01015250,,,
E01015251,,,
E01015252,,,
E01015253,,,
E01015254,,,
E01015255,,,
E01015256,,,
E01015257,,,
E01015258,,,
E01015259,,,
E01015260,,,
E01015261,,,
E01015262,,,
E01015263,,,
E01015264,,,
E01015265,,,
E01015266,,,
E01015267,,,
E01015268,,,
E01015269,,,
E01015270,,,
E01015271,,,
E01019886,0.076923077,0.051724138,0.081481481
E01019887,0.142857143,0.166666667,0.12
E01019888,#,0.106382979,0.104166667
E01019889,0,#,#
E01019890,0.142857143,0.073529412,#
E01019891,#,#,#
E01019892,0.112676056,0.076190476,0.051612903
E01019893,0.058823529,0.081081081,0.057142857
E01019894,0,#,#
E01019895,#,#,#
E01019896,#,#,#
E01019897,#,#,#
E01019898,0.091954023,0.056818182,#
E01019899,0.071428571,0.071428571,#
E01019900,#,#,#
E01019901,#,#,0
E01019902,0.098765432,0.104651163,#
E01019903,0.109756098,0.088888889,0.094736842
E01019904,0.116883117,0.103448276,0.071428571
E01019905,0.0390625,#,0.055555556
E01019906,#,#,#
